bucket,n,predEdgePct,realEdgePct,gapPct,market,spec
10%+,542,16.558029158007468,-9.84018411666013,26.398213274667597,spreads,price+gbm+iso
<0%,14077,-2.80708421201276,-4.707384658630619,1.9003004466178588,batter_total_bases,gbm
0-1%,2488,0.49322735793340644,-1.2234100722469545,1.716637430180361,batter_total_bases,gbm
1-2%,2405,1.5016872829958827,-0.023323317765734156,1.5250106007616169,batter_total_bases,gbm
2-3%,2051,2.487354332323443,1.159884228321803,1.32747010400164,batter_total_bases,gbm
3-5%,3452,3.9589344318226227,-1.8957140805093455,5.854648512331968,batter_total_bases,gbm
5-7%,2628,5.954683975151352,-0.8859047745247293,6.8405887496760815,batter_total_bases,gbm
7-10%,2604,8.39018369366937,0.1830333925461305,8.207150301123239,batter_total_bases,gbm
10%+,3406,14.928204798813072,7.782406234948179,7.145798563864893,batter_total_bases,gbm
<0%,10461,-1.2528614620443363,-1.4799881573133178,0.22712669526898144,batter_total_bases,price
0-1%,7794,0.5056584226125556,-3.110774144167703,3.6164325667802584,batter_total_bases,price
1-2%,6908,1.4708411546623625,0.5063015917137804,0.9645395629485821,batter_total_bases,price
2-3%,4483,2.4622852324827456,-0.02750959521372237,2.489794827696468,batter_total_bases,price
3-5%,3056,3.6816160880853004,3.801885123525681,-0.12026903544038081,batter_total_bases,price
5-7%,342,5.685336043986336,5.379755550276606,0.30558049370972995,batter_total_bases,price
7-10%,60,7.945706256275993,4.560479443273244,3.385226813002749,batter_total_bases,price
10%+,7,10.879814927253685,12.571428571428617,-1.6916136441749323,batter_total_bases,price
<0%,16239,-2.5844611696722852,-3.718411883351716,1.1339507136794307,batter_total_bases,price+gbm+iso
0-1%,3090,0.49546755010811394,-0.6001098485243599,1.0955773986324737,batter_total_bases,price+gbm+iso
1-2%,2870,1.4800447234021772,-2.6309353268633022,4.110980050265479,batter_total_bases,price+gbm+iso
2-3%,2464,2.498493408908662,-0.07851044570917762,2.5770038546178395,batter_total_bases,price+gbm+iso
3-5%,3783,3.944921047499782,-0.22569025349341892,4.170611300993201,batter_total_bases,price+gbm+iso
5-7%,2326,5.9176818943202045,6.387742488824221,-0.4700605945040168,batter_total_bases,price+gbm+iso
7-10%,1604,8.237110253659436,2.174884116415886,6.062226137243551,batter_total_bases,price+gbm+iso
10%+,735,12.135834357494327,23.01709156092476,-10.881257203430435,batter_total_bases,price+gbm+iso
<0%,14155,-1.920802720942793,-2.994278037396721,1.073475316453928,batter_home_runs,gbm
0-1%,1859,0.44895934159194484,-6.403315089932623,6.8522744315245685,batter_home_runs,gbm
1-2%,1037,1.4448736385713323,3.181761618963404,-1.7368879803920716,batter_home_runs,gbm
2-3%,602,2.457813691241938,-0.6593227462007953,3.1171364374427335,batter_home_runs,gbm
